"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203427"	18682	13791	NA	25899	20670	19852	31523	22150	27951	27906	34527	36570	23309	23085	21240	25869	33883	11763	29742	31760	15793	23765	30657	22896	20049	NA	27963	21324	32041	26169	20295	30742	46129
"ME203426"	554107	550564	529722	556871	551915	562284	548151	588324	624345	538089	515220	626712	590136	564134	569671	550570	538058	377050	618760	547270	581527	608528	581897	590993	500612	586716	546124	546864	525118	476016	561846	518080	459943
"ME203428"	NA	NA	NA	NA	NA	1495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4190	NA	NA	NA	3044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203429"	11324	9757	7173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7822	NA	NA	NA	5214	NA	NA
"ME203430"	167312	288006	141576	191249	384384	346666	192268	198259	170785	129540	177288	128438	118602	114482	145416	86866	151278	88840	152234	177535	127813	193193	110042	125819	108308	153324	195781	154914	305085	489149	91684	208283	66733
"ME203440"	18244	34623	17266	23835	26756	52480	NA	40513	10921	NA	12874	14042	21523	32201	11047	NA	NA	NA	15041	NA	12194	10949	6299	8560	NA	10626	NA	5465	NA	NA	8350	NA	NA
"ME203441"	48841	NA	11827	9746	NA	6916	35352	39275	90896	87681	96362	79478	50726	68629	62429	40246	36521	3234	69380	57402	64193	96836	125171	74628	104148	51415	80659	57000	79967	84570	71140	61790	82831
"ME203431"	NA	NA	NA	NA	2087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3672
"ME203434"	29331	NA	31037	20339	18264	NA	18031	15736	NA	74056	183610	122597	77558	NA	64076	81490	59295	61569	84675	30311	49648	15650	39822	52753	NA	11728	53260	35685	12667	11163	27616	51484	35999
"ME203432"	NA	NA	NA	NA	NA	3824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203433"	14062	28925	24454	30775	24122	35895	14516	19366	10827	17475	8178	14322	NA	NA	17573	NA	24773	NA	10749	NA	4581	6539	4328	4143	27854	12743	19453	16251	6019	NA	6751	17151	5643
"ME203435"	267037	648916	329715	NA	1745707	334412	326100	242476	1080798	NA	NA	NA	NA	NA	460153	NA	NA	NA	NA	NA	279929	631593	NA	NA	471675	943674	497305	NA	NA	256331	NA	NA	629008
